Date,Adj Close Chevron stock,Adj Close Exxonmobil stock,Price S&P Oil,Price treasury,Price WTI crude oil,,
26-12-2014,77.89325,62.914944,"7,280.90",2.061,55.84,,
29-12-2014,77.941414,62.820423,"7,271.30",2.136,54.7,,
30-12-2014,77.796967,62.786697,"7,348.90",2.208,53.68,,
31-12-2014,77.157318,62.401955,"6,871.40",2.16,54.21,,
02-01-2015,77.432426,62.658459,"6,669.10",2.156,53.46,,
05-01-2015,74.337318,60.943993,"6,596.10",2.269,52.69,,
06-01-2015,74.30294,60.620003,"6,830.40",2.264,50.04,,
07-01-2015,74.241051,61.234241,"6,868.70",2.255,48.04,,
08-01-2015,75.939919,62.253452,"6,544.30",2.252,48.65,,
09-01-2015,74.426758,62.16571,"6,511.20",2.204,48.79,,
12-01-2015,72.824181,60.970989,"6,682.60",2.192,48.42,,
13-01-2015,71.668686,60.748257,"6,461.30",2.17,46.1,,
14-01-2015,71.462334,60.572777,"6,755.50",2.17,45.89,,
15-01-2015,70.616318,60.046272,"6,635.60",2.114,48.56,,
16-01-2015,72.301445,61.504223,"6,897.40",2.034,46.27,,
20-01-2015,73.22998,61.483986,"6,901.90",1.938,48.69,,
21-01-2015,74.392365,62.010468,"6,916.30",1.969,46.39,,
22-01-2015,74.915062,62.685421,"7,089.80",2.018,47.78,,
23-01-2015,73.491318,61.348988,"7,217.40",1.95,46.4,,
26-01-2015,74.887581,61.936195,"6,798.90",1.909,45.51,,
27-01-2015,74.461136,61.389488,"6,859.70",1.905,45.15,,
28-01-2015,71.331657,59.364536,"7,013.60",1.855,46.15,,
29-01-2015,70.843307,59.114811,"7,429.00",1.728,44.49,,
30-01-2015,70.52002,59.006809,"7,805.20",1.831,44.57,,
02-02-2015,72.947983,60.464779,"7,624.90",1.8,48.19,,
03-02-2015,75.334641,62.26696,"7,863.30",1.791,49.46,,
04-02-2015,74.523033,61.733727,"7,897.80",1.875,53.07,,
05-02-2015,75.183327,62.341221,"7,884.60",1.872,48.37,,
06-02-2015,75.389648,62.225601,"7,699.40",1.789,50.53,,
09-02-2015,75.953667,62.266407,"7,711.00",1.828,51.7,,
10-02-2015,75.781708,61.892376,"7,884.90",1.828,53.05,,
11-02-2015,75.644173,61.613537,"8,091.90",1.719,50.02,,
12-02-2015,76.998535,62.817249,"8,191.30",1.756,48.87,,
13-02-2015,78.332085,63.497314,"8,006.90",1.639,51.21,,
17-02-2015,78.068169,63.279682,"8,003.40",1.674,52.63,,
18-02-2015,76.706825,61.892376,"7,935.50",1.798,53.4,,
19-02-2015,75.255196,60.824684,"7,851.70",1.747,52.13,,
20-02-2015,75.428848,61.151119,"7,847.50",1.817,51.16,,
23-02-2015,74.914879,60.532246,"7,991.20",1.958,50.81,,
24-02-2015,74.984314,60.811069,"7,785.90",1.978,49.6,,
25-02-2015,75.41494,60.933491,"7,709.00",2.004,49.28,,
26-02-2015,74.359222,60.287418,"7,569.50",2.021,50.99,,
27-02-2015,74.095284,60.212616,"7,669.00",1.988,48.17,,
02-03-2015,73.553513,59.872574,"7,705.40",2.047,49.5,,
03-03-2015,73.039566,59.586956,"7,636.80",2.019,49.63,,
04-03-2015,73.039566,59.287746,"7,466.40",2.145,50.36,,
05-03-2015,72.740891,58.988503,"7,377.50",2.085,51.43,,
06-03-2015,71.921303,58.233646,"7,188.40",2.122,50.82,,
09-03-2015,72.199142,57.914001,"7,312.40",2.115,49.61,,
10-03-2015,71.476814,57.301979,"7,243.60",2.061,49.98,,
11-03-2015,71.91436,57.138744,"7,203.50",1.972,48.5,,
12-03-2015,71.136452,57.274761,"7,214.30",1.972,48.17,,
13-03-2015,70.580833,57.036724,"7,130.80",2.031,47.17,,
16-03-2015,71.629585,57.641979,"7,466.40",1.996,44.95,,
17-03-2015,71.657394,57.179558,"7,270.30",2.089,43.85,,
18-03-2015,74.109184,58.532875,"7,335.90",2.122,43.33,,
19-03-2015,72.754791,57.403961,"7,238.20",2.119,44.66,,
