Epoch,R2_Causal,MSE_Causal,RMSE_Causal,MAPE_Causal,MAE_Causal
1,0.3174960335829903,11.479867438737616,3.3881953070532425,3.0299793227077925,2.9396019396875004
2,0.3898015038071322,10.263673461688148,3.203696842975026,2.796914110117895,2.678770365048828
3,0.5738296748576807,7.168278983990977,2.6773641859095254,2.2583624324699856,2.1490040011796876
4,0.6128044274543619,6.512715038163123,2.5520021626485985,2.145168507963583,2.0375798564140624
5,0.6253337721695567,6.301968693083569,2.5103722220187925,2.1068377303773134,2.0005741481777344
6,0.6345293074968515,6.147297758144161,2.4793744691240494,2.0800320573235487,1.975203390121094
7,0.6429838669437162,6.005090201150081,2.450528555465143,2.0552409080948837,1.951883810042969
8,0.6512860807204669,5.865445131971206,2.4218681078810227,2.030338186263893,1.9284217468925786
9,0.6598676699396381,5.72110090615378,2.3918822935407547,2.0032147690425797,1.9027002514121096
10,0.6689688075793991,5.568017761165396,2.359664756096805,1.9729159949919761,1.8737238111152343
15,0.7108016898796192,4.864379442537054,2.2055338225783467,1.8072836300407518,1.7133698132714847
25,0.7783096257001152,3.7288810536403862,1.9310310856224937,1.5696241810345888,1.4890690276152345
50,0.8589986544479071,2.371673770805094,1.5400239513738394,1.2345097067809747,1.1727062004335935
100,0.8879832273389848,1.8841468538483992,1.3726422891082728,1.0824844563241964,1.0278312318066403
250,0.8849642755293278,1.9349262899896154,1.391016279555928,1.1099711929724272,1.0599405988535155
500,0.8702433540835494,2.1825354396635537,1.4773406647295517,1.2105332809488607,1.159753400123047
750,0.8794651468801012,2.0274228482925647,1.4238759947033888,1.1789227709860122,1.1276075066679687
1000,0.8839472513408478,1.9520328614386169,1.397151695929478,1.1243628315350436,1.0675934488320311
