Epoch,R2_Univ,MSE_Univ,RMSE_Univ,MAPE_Univ,MAE_Univ
1,0.238259760360802,12.812639052806942,3.5794746895050036,3.238426633615931,3.1405742920039064
2,0.6076768461890216,6.598962087416893,2.568844504328141,2.1788535195729004,2.087803782777344
3,0.6393870149147675,6.065590046602783,2.462841863904945,1.9723587269001654,1.8644477125214844
4,0.6069410377589126,6.611338547706643,2.5712523306176394,2.051424702893741,1.9382315699648436
5,0.615780247748259,6.462661083642116,2.542176446205518,2.028484820687145,1.916544429644531
6,0.6310904955650742,6.205139334260999,2.4910117089770973,1.990282729427738,1.8806490361796875
7,0.6442016644213661,5.984606578638635,2.4463455558523686,1.957781029952288,1.850174030076172
8,0.6554080630824834,5.79611247834696,2.407511677717672,1.9284658177706526,1.822669451544922
9,0.665585936092229,5.6249184066501,2.371691043675398,1.9017452128507104,1.797696211796875
10,0.6750613637560314,5.465539620799444,2.3378493580210518,1.8769029215634128,1.7745592836152344
15,0.713152760635588,4.824833913213166,2.1965504576979713,1.770523233903984,1.6754875933789062
25,0.7813280394153167,3.6781106683667435,1.9178401050053009,1.5426505609722387,1.4634895014433593
50,0.8517962950559802,2.492819046340311,1.5788663801412426,1.2888464610304886,1.2250133610839842
100,0.8947401749024944,1.7704935036315348,1.3305989266610487,1.0358900169905745,0.984347706455078
250,0.8933517393305562,1.793847296572482,1.3393458465133201,1.077578016739449,1.0273300724746093
500,0.8903811142640463,1.843813866221527,1.357871078645365,1.0982180095139202,1.046750634769531
750,0.8801648141191646,2.0156542908175927,1.4197374020633509,1.1536372823384018,1.0998314730253906
1000,0.8815900492711505,1.9916815208134548,1.4112694713673413,1.149341703617705,1.0952124962148435
