Epoch,R2_Mult,MSE_Mult,RMSE_Mult,MAPE_Mult,MAE_Mult
1,-0.759817429851098,29.60051780670068,5.440635790668281,5.00392823965024,4.872296737669922
2,0.55263207758861,7.5248272513163466,2.7431418576727573,2.2754091474631104,2.156204634414063
3,0.5017997737083038,8.379837828346453,2.8947949544564384,2.4227613708464033,2.2883643931230466
4,0.5415237758752376,7.711671339283304,2.776989618144674,2.2982742933823466,2.1715735333046875
5,0.5881918241396827,6.926704461342701,2.6318633059759584,2.1547117323671685,2.035849599074219
6,0.6277352395416325,6.261575481547213,2.502314025366763,2.042131444719986,1.930179397169922
7,0.6605253266074929,5.710038975764117,2.389568784480605,1.954343250870336,1.8484921920253907
8,0.6861773804622271,5.278565764949429,2.2975129520743574,1.8838060823976237,1.783688267542969
9,0.7043202435459546,4.973398801226465,2.2301118360356873,1.8298506165595485,1.7350870016953128
10,0.7149921970069355,4.793894187227515,2.189496331859799,1.7971543328865407,1.7067029087031251
15,0.7296581261787329,4.547210019746386,2.132418819028379,1.721488012265162,1.6445402769160158
25,0.6934946746261526,5.155487261167096,2.2705698097982134,1.9079152797453223,1.8362963105722658
50,0.8807974849786484,2.0050126272425732,1.4159846846779711,1.155601937830306,1.1051659372011717
100,0.9176550401128941,1.3850604102929984,1.1768858951882286,0.924889779197656,0.883145422597656
250,0.9018771403103476,1.6504481693499897,1.2846976957050984,1.0604803187357774,1.0211674752441406
500,0.7334777113922477,4.482963752941072,2.1173010539224393,1.818474176642019,1.7582674744101565
750,0.40751369118546577,9.965750558439973,3.1568577032295853,2.4550338156035,2.3327885258964844
1000,0.1884065183393363,13.651181593156151,3.694750545457183,2.9113349198227367,2.760955431128907
