Epoch,R2_Causal2,MSE_Causal2,RMSE_Causal2,MAPE_Causal2,MAE_Causal2
1,-1.098677592027777,35.300220568106425,5.941398873001747,5.680068480591366,5.513630474169922
2,0.10694041933383647,15.021459369333636,3.875752748735868,3.4590052616230715,3.3217925595742184
3,0.41326015389824255,9.86909378656706,3.141511385713421,2.70421396898616,2.5832090262597656
4,0.5425268297243153,7.694799752028248,2.7739502072005995,2.3398925670189037,2.228974269855469
5,0.5826677100533739,7.0196212802151345,2.649456789648613,2.2260703381354645,2.118858422976563
6,0.6020853455911543,6.693012362295324,2.587085689012895,2.170240709527239,2.0653113641718757
7,0.6184396094335793,6.417930032803826,2.5333633834891955,2.1221654113344113,2.019251182007813
8,0.6352222595187029,6.135642152105678,2.4770228404489285,2.071116168446711,1.9700938624667974
9,0.6514713799340218,5.86232835827789,2.421224557590206,2.021256734520121,1.9219392910507813
10,0.6657027477285784,5.62295360913012,2.3712767888060053,1.9757687688083032,1.8779546126796878
15,0.7077000989420115,4.916548887060356,2.2173292238773104,1.8239118732614734,1.7324838611757813
25,0.7395711904160129,4.380470090082543,2.0929572594973225,1.7166725847222848,1.6344563833359376
50,0.813101085491918,3.143681016625464,1.7730428693704685,1.4913933596202198,1.424182119998047
250,0.8815039645539059,1.9931294847683847,1.41178237868603,1.1468170767829116,1.094301575423828
500,0.8701462846795925,2.184168168474833,1.4778931519141811,1.220997037500009,1.166461293568359
750,0.7565124407715029,4.095514517811682,2.0237377591505483,1.669529373462248,1.5985748853691402
1000,0.7979698557529539,3.398191642402924,1.843418466437538,1.5026595690058666,1.4386627489882808
